"game_block_id","Game","Duration","player_id","player_name","role","Champion","Result","KDA","CSM","DPM","KP%"
"15","NS vs OK BRION","33:52","3438","Bull","ADC","Ezreal","Defeat","=""4/0/5""","8.9","1059","81.8%"
"15","NS vs OK BRION","33:52","3195","Clozer","MID","Corki","Defeat","=""3/2/8""","9.1","712","100%"
"15","NS vs OK BRION","33:52","4796","Fisher","MID","Azir","Victory","=""5/4/7""","8.0","699","63.2%"
"15","NS vs OK BRION","33:52","3327","GIDEON","JUNGLE","Maokai","Victory","=""2/1/12""","6.1","475","73.7%"
"15","NS vs OK BRION","33:52","4217","HamBak","JUNGLE","Zyra","Defeat","=""2/6/9""","5.8","825","100%"
"15","NS vs OK BRION","33:52","4755","Jiwoo","ADC","Ashe","Victory","=""5/1/9""","8.6","621","73.7%"
"15","NS vs OK BRION","33:52","738","Lehends","SUPPORT","Rell","Victory","=""2/4/13""","1.0","129","78.9%"
"15","NS vs OK BRION","33:52","2545","Morgan","TOP","Jax","Defeat","=""2/4/3""","6.9","317","45.5%"
"15","NS vs OK BRION","33:52","4865","Pollu","SUPPORT","Leona","Defeat","=""0/7/10""","0.9","160","90.9%"
"15","NS vs OK BRION","33:52","1229","kingen","TOP","Gangplank","Victory","=""5/1/8""","8.6","1100","68.4%"
"16","NS vs OK BRION","41:08","3438","Bull","ADC","Varus","Defeat","=""2/3/8""","7.9","795","58.8%"
"16","NS vs OK BRION","41:08","3195","Clozer","MID","Aurora","Defeat","=""9/2/4""","8.3","1058","76.5%"
"16","NS vs OK BRION","41:08","4796","Fisher","MID","Smolder","Victory","=""5/1/14""","8.1","862","70.4%"
"16","NS vs OK BRION","41:08","3327","GIDEON","JUNGLE","Sejuani","Victory","=""3/2/18""","5.7","417","77.8%"
"16","NS vs OK BRION","41:08","4217","HamBak","JUNGLE","Nocturne","Defeat","=""1/8/9""","6.1","518","58.8%"
"16","NS vs OK BRION","41:08","4755","Jiwoo","ADC","Kalista","Victory","=""6/4/10""","7.3","493","59.3%"
